Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Chili,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,100,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Grd beef,,,,,,,3,,#,,25,37.5,,50,
2),,onion,,,,,,,0.25,,c,,2.083333333333333,3.125,,4.166666666666666,
3),,Veg oil,,,,,,,3,,T,,25,37.5,,50,
4),,Water,,,,,,,6,,c,,50,75,,100,
5),,bay leaves,,,,,,,2,,ct,,16.666666666666664,25,,33.33333333333333,
6),,chili powder,,,,,,,0.25,,c,,2.083333333333333,3.125,,4.166666666666666,
7),,salt,,,,,,,1,,T,,8.333333333333332,12.5,,16.666666666666664,
8),,Garlic -clove/minced,,,,,,,10,,ct,,83.33333333333334,125,,166.66666666666669,
9),,Grd cumin,,,,,,,0.5,,t,,4.166666666666666,6.25,,8.333333333333332,
10),,oregano,,,,,,,1,,t,,8.333333333333332,12.5,,16.666666666666664,
11),,cayenne pepper,,,,,,,0.5,,t,,4.166666666666666,6.25,,8.333333333333332,
12),,black pepper,,,,,,,0.25,,t,,2.083333333333333,3.125,,4.166666666666666,
13),,sugar,,,,,,,1,,T,,8.333333333333332,12.5,,16.666666666666664,
14),,Sweet paprika ,,,,,,,3,,T,,25,37.5,,50,
15),,flour,,,,,,,3,,T,,25,37.5,,50,
16),,cornmeal,,,,,,,6,,T,,50,75,,100,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Brown beef with onion and oil until no longer pink, add water bay leaves chili powder, salt, garlic, cumin, oregano, cayenne pepper, black pepper, sugar, and paprika. Simmer covered for 2hrs.  Refrigerate overnight.  Next day:  Skim off fat.  Reheat chili. Combine flour and cornmeal with a little cold water to make paste.  add to chili, cook additional 6-8 mins.  remove bay leaves before serving.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
