Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Asparagus Bundles,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Asparagus,,,,,,,2,,#,,8.333333333333332,12.5,,11.666666666666666,
2),,Bacon slices,,,,,,,12,,ct,,50,75,,70,
3),,Butter,,,,,,,0.5,,c ,,2.083333333333333,3.125,,2.9166666666666665,
4),,Soy Sauce,,,,,,,1,,T,,4.166666666666666,6.25,,5.833333333333333,
5),,Brown sugar -packed,,,,,,,0.5,,c,,2.083333333333333,3.125,,2.9166666666666665,
6),,Cajun seasoning,,,,,,,0.5,,t,,2.083333333333333,3.125,,2.9166666666666665,
7),,Chili powder,,,,,,,2,,t,,8.333333333333332,12.5,,11.666666666666666,
8),,Garlic Salt,,,,,,,0.5,,t,,2.083333333333333,3.125,,2.9166666666666665,
9),,Pepper  ,,,,,,,1,,t,,4.166666666666666,6.25,,5.833333333333333,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,12,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Cook bacon slightly. Trim asparagus. Equal divide asparagus and wrap with bacon (use toothpicks if necessary). Place into baking pan.    In sauce pan melt butter, add remaining ingredients and bring to boil, stirring constantly. Pour over asparagus. Cover pan Baked @ 375 for about 25 mins.  Bast w/ pan sauce as needed.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
