Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,Cuban roasted pork,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,Cuba,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,pork loin or pork shoulder,,,,,,,2.4,,lbs.,,20,29.999999999999996,,27.999999999999996,
2),,"sour orange juice, (2/3 fresh oj & 1/3 lemon j)",,,,,,,0.07,,gal.,,0.5833333333333334,0.875,,0.8166666666666667,
3),,salt,,,,,,,4,,tsp.,,33.33333333333333,50,,46.666666666666664,
4),,black pepper ,,,,,,,3,,tsp.,,25,37.5,,35,
5),,dried oregano ,,,,,,,3,,tsp.,,25,37.5,,35,
6),,"garlic cloves, crushed",,,,,,,6,,ct.,,50,75,,70,
7),,"onion, sliced ",,,,,,,1,,ct.,,8.333333333333332,12.5,,11.666666666666666,
8),,Bay leaves,,,,,,,,,,,0,0,,0,
9),,oil,,,,,,,1,,C.,,8.333333333333332,12.5,,11.666666666666666,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"*  Mix together all ingredients and marinate pork overnight.  Place in a hotel pan and cover with foil.  Bake at 350 degrees fahrenheit for 15 minutes or until seared, internal temperature reaches 145 degrees fahrenheit.  Reduce oven temperature to 250 and roast for 2 hours (rotating every half hour) or until internal temperature reaches 145 degrees fahrenheit.  Remove from oven and let sit for 15 minutes.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
