Unnamed: 0,Unnamed: 1,Unnamed: 2,target name:,Unnamed: 4,Unnamed: 5,Reggae Rice,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,english name:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
intro:,,,,,,,,,,,,,,,,vil / recipe code,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,quantity,
source:,,,,,,,,,,,,,,,,calculator,
region:,,,,,,,,,,,,,,,,70,
,,,,,,,,,,,,,,,,,
ingredients:,,,,,,,,,quantity,,unit,,50 servings,75 servings,,servings,
1),,Veg. Oil,,,,,,,2,,T,,16.666666666666664,25,,23.333333333333332,
2),,onion -chopped,,,,,,,0.5,,c,,4.166666666666666,6.25,,5.833333333333333,
3),,garlic -minced,,,,,,,2,,ct,,16.666666666666664,25,,23.333333333333332,
4),,carrot -grated,,,,,,,0.5,,c,,4.166666666666666,6.25,,5.833333333333333,
5),,green pepper -chopped,,,,,,,0.25,,c,,2.083333333333333,3.125,,2.9166666666666665,
6),,rice,,,,,,,2,,c,,16.666666666666664,25,,23.333333333333332,
7),,water,,,,,,,4,,c,,33.33333333333333,50,,46.666666666666664,
8),,salt,,,,,,,1,,t,,8.333333333333332,12.5,,11.666666666666666,
9),,white pepper,,,,,,,0.25,,t,,2.083333333333333,3.125,,2.9166666666666665,
10),,,,,,,,,,,,, , ,, ,
11),,,,,,,,,,,,, , ,, ,
12),,,,,,,,,,,,, , ,, ,
13),,,,,,,,,,,,, , ,, ,
14),,,,,,,,,,,,, , ,, ,
15),,,,,,,,,,,,, , ,, ,
16),,,,,,,,,,,,, , ,, ,
17),,,,,,,,,,,,, , ,, ,
18),,,,,,,,,,,,, , ,, ,
19),,,,,,,,,,,,, , ,, ,
20),,,,,,,,,,,,, , ,, ,
,,,,,,,,,,,,,,,,,
"As it appears above, recipe yields how many servings?",,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cooking instructions:,,,,,,,,,,,,,,,,,
"Saute onion, garlic, carrot, green pepper for 2 mins.  Add rice and stir for additional min.                             Add mixture to boiling water along with salt and white pepper, bring to boil. Reduce heat, cover and simmer for 20 mins or until all the water is aborbed.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
comments:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 
